WWTP Name,Pixel Count,Stream Length (m)
Khamis Mushait ,2,41.24
Abha,2,41.26
Abu Arish ,484,16893.45
Jizan,560,16888.00
Sabia,489,16898.45
Samtah ,493,16892.40
Baish,488,16888.76
JAZAN ECONOMIC CITY,522,16867.23
Sharoura ,449,16893.43
Najran,2,29.83
