WWTP Name,Pixel Count,Stream Length (m)
Al Kharj Industrial City,477,16878.89
Al-Khobar,545,16876.71
Qatif ,495,16890.32
South Dhahran ,515,16879.43
North Dhahran ,515,16879.43
Al Khafji ,524,16880.01
Ras Al-Khair,432,16893.93
Hofouf,493,16897.79
Al-Omran,495,16901.49
Al-Ayoun,522,16869.11
Fadhili Bachelors Camp STP,479,16890.66
